Wall time,Step,Value
1765329070,1700,1.552585777
1765329107,1710,2.449983471
1765329144,1720,2.118678799
1765329180,1730,2.047928019
1765329216,1740,2.20973486
1765329253,1750,2.129371392
1765329290,1760,2.165680861
1765329327,1770,1.607941608
1765329364,1780,2.503147865
1765329399,1790,2.208794701
1765329437,1800,2.065729596
1765329473,1810,2.167284617
1765329510,1820,2.281947579
1765329547,1830,2.035083721
1765329584,1840,2.053939076
1765329620,1850,2.032509694
1765329657,1860,2.055046568
1765329693,1870,2.447066844
1765329729,1880,2.088799581
1765329766,1890,1.891322868
1765329803,1900,2.158361287
1765329840,1910,2.279340544
1765329875,1920,2.225321351
1765329911,1930,2.10915447
1765329948,1940,2.532949835
1765329984,1950,2.148404106
1765330020,1960,2.625608475
1765330057,1970,2.486771178
1765330093,1980,2.422461219
1765330130,1990,2.110785735
1765330167,2000,1.953513308
1765330203,2010,2.753028605
1765330239,2020,2.211072585
1765330276,2030,2.10051504
1765330312,2040,2.190752623
1765330349,2050,2.163657181
1765330386,2060,2.040469702
1765330423,2070,2.677491957
1765330460,2080,2.450532407
1765330497,2090,2.260823137
1765330533,2100,2.401703343
1765330569,2110,2.14757588
1765330606,2120,2.591437865
1765330644,2130,2.490054525
1765330680,2140,2.158661916
1765330717,2150,2.250755728
1765330754,2160,2.734816392
1765330791,2170,2.409634638
1765330827,2180,2.841172091
1765330864,2190,2.802567691
1765330901,2200,2.380628726
1765330938,2210,2.790907828
1765330974,2220,1.849463196
1765331011,2230,2.221815777
1765331049,2240,2.429161363
1765331087,2250,2.462305102
1765331123,2260,2.415982298
1765331159,2270,2.901635127
1765331196,2280,2.327228256
1765331233,2290,2.596135891
1765331268,2300,2.351693371
1765331304,2310,2.480061823
1765331341,2320,2.502473528
1765331378,2330,2.646287692
1765331415,2340,2.842209308
1765331452,2350,2.439912093
1765331488,2360,1.859131748
1765331525,2370,2.543854912
1765331562,2380,2.725361732
1765331598,2390,2.190267378
1765331635,2400,2.37269626
1765331672,2410,2.257408044
1765331708,2420,2.691595744
1765331745,2430,2.421979088
1765331783,2440,2.348491504
1765331819,2450,2.821841694
1765331857,2460,2.558391672
1765331893,2470,2.705363844
1765331930,2480,2.901855915
1765331966,2490,2.260014338
1765332003,2500,2.029574483
1765332040,2510,2.840398723
1765332077,2520,1.904569411
1765332114,2530,2.546978683
1765332151,2540,2.508315593
1765332187,2550,1.981733509
1765332224,2560,2.658811521
1765332260,2570,2.251415735
1765332298,2580,2.827014456
1765332335,2590,2.317660501
1765332371,2600,2.231252716
1765332409,2610,2.212610139
1765332446,2620,3.019289427
1765332482,2630,2.685053284
1765332520,2640,2.579197572
1765332555,2650,2.364066122
1765332592,2660,2.476892993
1765332629,2670,2.126597936
1765332666,2680,2.625286963
1765332702,2690,2.226441221
1765332740,2700,2.530505329
1765332776,2710,2.451347917
1765332813,2720,2.430040949
1765332849,2730,2.321386985
1765332886,2740,2.619163897
1765332922,2750,2.025815623
1765332958,2760,2.656884942
1765332996,2770,2.98321091
1765333032,2780,1.979489647
1765333070,2790,2.790010994
1765333106,2800,2.269193298
1765333143,2810,2.556994998
1765333181,2820,2.790287301
1765333217,2830,2.103640101
1765333253,2840,2.121478072
1765333290,2850,2.387191929
1765333327,2860,2.538172677
1765333362,2870,2.408684586
1765333398,2880,2.395854463
1765333435,2890,2.506028007
1765333472,2900,2.235947746
1765333509,2910,2.25478244
1765333546,2920,2.649767984
1765333582,2930,2.339453475
1765333619,2940,2.756181242
1765333656,2950,2.712914593
1765333692,2960,2.916151452
1765333729,2970,2.303757351
1765333766,2980,2.615602128
1765333802,2990,2.777575505
1765333839,3000,2.521540877
1765333875,3010,2.827523138
1765333912,3020,2.938111476
1765333949,3030,3.021138256
1765333985,3040,2.726339815
1765334022,3050,2.061232174
1765334058,3060,2.09896615
1765334095,3070,2.211162838
1765334131,3080,2.838723422
1765334169,3090,2.901245923
1765334205,3100,2.488573483
1765334243,3110,2.717488632
1765334279,3120,2.249947927
1765334317,3130,2.344360439
1765334353,3140,2.261827891
1765334390,3150,2.586785254
1765334427,3160,3.001886035
1765334464,3170,2.755991512
1765334500,3180,2.682610427
1765334538,3190,2.303167377
1765334574,3200,2.715363446
1765334610,3210,2.616264318
1765334648,3220,2.809041415
1765334684,3230,2.701544662
1765334721,3240,2.424524628
1765334758,3250,2.275679093
1765334794,3260,2.498852105
1765334831,3270,2.829562288
1765334868,3280,2.666538457
1765334904,3290,2.661842448
1765334941,3300,2.783044175
1765334978,3310,2.731831307
1765335017,3320,2.761695863
1765335054,3330,2.554519117
1765335091,3340,2.303733214
1765335128,3350,2.079311769
1765335165,3360,2.609814403
1765335202,3370,2.593083399
1765335238,3380,2.816862345
1765335275,3390,2.749887128
1765335312,3400,2.690782928
1765335348,3410,2.705033536
1765335385,3420,2.632732985
1765335422,3430,2.588580535
1765335460,3440,2.884482053
1765335495,3450,2.734534511
1765335532,3460,2.938418923
1765335568,3470,2.511929212
1765335605,3480,2.242485883
1765335643,3490,2.60036639
1765335680,3500,2.67229651
1765335716,3510,2.574840467
1765335754,3520,3.050935033
1765335792,3530,2.997061948
1765335829,3540,2.475150823
1765335865,3550,2.532924412
1765335903,3560,2.268007111
1765335940,3570,2.598803217
1765335976,3580,2.265212451
1765336013,3590,2.528565375
1765336049,3600,2.666110643
1765336086,3610,2.850211896
1765336122,3620,2.781032964
1765336159,3630,2.838622222
1765336197,3640,2.568405761
1765336234,3650,2.631680204
1765336271,3660,2.44808302
1765336307,3670,2.758415224
1765336345,3680,2.826241194
1765336382,3690,3.142385055
1765336418,3700,2.837005318
1765336455,3710,2.594918374
1765336491,3720,2.659190207
1765336528,3730,2.701180562
1765336564,3740,2.594442704
1765336602,3750,3.103570838
